epochs: 0, loss: 0.83, accuracy: 84.15%
epochs: 1, loss: 0.30, accuracy: 91.12%
epochs: 2, loss: 0.26, accuracy: 92.55%
epochs: 3, loss: 0.23, accuracy: 93.56%
epochs: 4, loss: 0.20, accuracy: 94.37%
epochs: 5, loss: 0.18, accuracy: 95.01%
epochs: 6, loss: 0.16, accuracy: 95.49%
epochs: 7, loss: 0.15, accuracy: 95.91%
epochs: 8, loss: 0.13, accuracy: 96.26%
epochs: 9, loss: 0.12, accuracy: 96.59%
epochs: 10, loss: 0.11, accuracy: 96.82%
epochs: 11, loss: 0.11, accuracy: 97.04%
epochs: 12, loss: 0.10, accuracy: 97.25%
epochs: 13, loss: 0.09, accuracy: 97.43%
epochs: 14, loss: 0.09, accuracy: 97.60%
epochs: 15, loss: 0.08, accuracy: 97.73%
epochs: 16, loss: 0.08, accuracy: 97.91%
epochs: 17, loss: 0.07, accuracy: 98.03%
epochs: 18, loss: 0.07, accuracy: 98.13%
epochs: 19, loss: 0.07, accuracy: 98.22%
epochs: 20, loss: 0.06, accuracy: 98.30%
epochs: 21, loss: 0.06, accuracy: 98.41%
epochs: 22, loss: 0.06, accuracy: 98.51%
epochs: 23, loss: 0.06, accuracy: 98.58%
epochs: 24, loss: 0.05, accuracy: 98.64%
epochs: 25, loss: 0.05, accuracy: 98.74%
epochs: 26, loss: 0.05, accuracy: 98.80%
epochs: 27, loss: 0.05, accuracy: 98.85%
epochs: 28, loss: 0.05, accuracy: 98.90%
epochs: 29, loss: 0.04, accuracy: 98.95%
epochs: 30, loss: 0.04, accuracy: 99.00%
epochs: 31, loss: 0.04, accuracy: 99.04%
epochs: 32, loss: 0.04, accuracy: 99.10%
epochs: 33, loss: 0.04, accuracy: 99.16%
epochs: 34, loss: 0.04, accuracy: 99.20%
epochs: 35, loss: 0.03, accuracy: 99.23%
epochs: 36, loss: 0.03, accuracy: 99.27%
epochs: 37, loss: 0.03, accuracy: 99.31%
epochs: 38, loss: 0.03, accuracy: 99.35%
epochs: 39, loss: 0.03, accuracy: 99.39%
epochs: 40, loss: 0.03, accuracy: 99.43%
epochs: 41, loss: 0.03, accuracy: 99.46%
epochs: 42, loss: 0.03, accuracy: 99.49%
epochs: 43, loss: 0.03, accuracy: 99.51%
epochs: 44, loss: 0.03, accuracy: 99.54%
epochs: 45, loss: 0.02, accuracy: 99.56%
epochs: 46, loss: 0.02, accuracy: 99.58%
epochs: 47, loss: 0.02, accuracy: 99.60%
epochs: 48, loss: 0.02, accuracy: 99.62%
epochs: 49, loss: 0.02, accuracy: 99.65%
