epochs: 0, loss: 0.55, accuracy: 83.13%
epochs: 1, loss: 0.34, accuracy: 90.12%
epochs: 2, loss: 0.31, accuracy: 91.00%
epochs: 3, loss: 0.29, accuracy: 91.56%
epochs: 4, loss: 0.28, accuracy: 91.86%
epochs: 5, loss: 0.27, accuracy: 92.15%
epochs: 6, loss: 0.26, accuracy: 92.42%
epochs: 7, loss: 0.26, accuracy: 92.63%
epochs: 8, loss: 0.25, accuracy: 92.79%
epochs: 9, loss: 0.25, accuracy: 92.94%
epochs: 10, loss: 0.24, accuracy: 93.05%
epochs: 11, loss: 0.24, accuracy: 93.17%
epochs: 12, loss: 0.24, accuracy: 93.29%
epochs: 13, loss: 0.23, accuracy: 93.38%
epochs: 14, loss: 0.23, accuracy: 93.47%
epochs: 15, loss: 0.23, accuracy: 93.54%
epochs: 16, loss: 0.22, accuracy: 93.61%
epochs: 17, loss: 0.22, accuracy: 93.67%
epochs: 18, loss: 0.22, accuracy: 93.76%
epochs: 19, loss: 0.22, accuracy: 93.82%
epochs: 20, loss: 0.21, accuracy: 93.89%
epochs: 21, loss: 0.21, accuracy: 93.93%
epochs: 22, loss: 0.21, accuracy: 94.00%
epochs: 23, loss: 0.21, accuracy: 94.07%
epochs: 24, loss: 0.21, accuracy: 94.11%
epochs: 25, loss: 0.21, accuracy: 94.17%
epochs: 26, loss: 0.20, accuracy: 94.20%
epochs: 27, loss: 0.20, accuracy: 94.22%
epochs: 28, loss: 0.20, accuracy: 94.26%
epochs: 29, loss: 0.20, accuracy: 94.29%
epochs: 30, loss: 0.20, accuracy: 94.31%
epochs: 31, loss: 0.20, accuracy: 94.34%
epochs: 32, loss: 0.20, accuracy: 94.37%
epochs: 33, loss: 0.20, accuracy: 94.41%
epochs: 34, loss: 0.19, accuracy: 94.43%
epochs: 35, loss: 0.19, accuracy: 94.47%
epochs: 36, loss: 0.19, accuracy: 94.49%
epochs: 37, loss: 0.19, accuracy: 94.52%
epochs: 38, loss: 0.19, accuracy: 94.58%
epochs: 39, loss: 0.19, accuracy: 94.61%
epochs: 40, loss: 0.19, accuracy: 94.65%
epochs: 41, loss: 0.19, accuracy: 94.68%
epochs: 42, loss: 0.19, accuracy: 94.71%
epochs: 43, loss: 0.18, accuracy: 94.75%
epochs: 44, loss: 0.18, accuracy: 94.76%
epochs: 45, loss: 0.18, accuracy: 94.76%
epochs: 46, loss: 0.18, accuracy: 94.80%
epochs: 47, loss: 0.18, accuracy: 94.82%
epochs: 48, loss: 0.18, accuracy: 94.85%
epochs: 49, loss: 0.18, accuracy: 94.87%
