epochs: 0, loss: 0.57, accuracy: 83.13%
epochs: 1, loss: 0.33, accuracy: 90.19%
epochs: 2, loss: 0.31, accuracy: 91.14%
epochs: 3, loss: 0.29, accuracy: 91.62%
epochs: 4, loss: 0.28, accuracy: 92.03%
epochs: 5, loss: 0.27, accuracy: 92.43%
epochs: 6, loss: 0.26, accuracy: 92.73%
epochs: 7, loss: 0.25, accuracy: 93.00%
epochs: 8, loss: 0.24, accuracy: 93.20%
epochs: 9, loss: 0.23, accuracy: 93.38%
epochs: 10, loss: 0.23, accuracy: 93.55%
epochs: 11, loss: 0.22, accuracy: 93.71%
epochs: 12, loss: 0.22, accuracy: 93.85%
epochs: 13, loss: 0.21, accuracy: 94.00%
epochs: 14, loss: 0.21, accuracy: 94.14%
epochs: 15, loss: 0.20, accuracy: 94.27%
epochs: 16, loss: 0.20, accuracy: 94.37%
epochs: 17, loss: 0.19, accuracy: 94.46%
epochs: 18, loss: 0.19, accuracy: 94.57%
epochs: 19, loss: 0.19, accuracy: 94.70%
epochs: 20, loss: 0.18, accuracy: 94.79%
epochs: 21, loss: 0.18, accuracy: 94.88%
epochs: 22, loss: 0.18, accuracy: 94.98%
epochs: 23, loss: 0.17, accuracy: 95.03%
epochs: 24, loss: 0.17, accuracy: 95.12%
epochs: 25, loss: 0.17, accuracy: 95.22%
epochs: 26, loss: 0.16, accuracy: 95.31%
epochs: 27, loss: 0.16, accuracy: 95.39%
epochs: 28, loss: 0.16, accuracy: 95.45%
epochs: 29, loss: 0.16, accuracy: 95.49%
epochs: 30, loss: 0.16, accuracy: 95.54%
epochs: 31, loss: 0.16, accuracy: 95.60%
epochs: 32, loss: 0.15, accuracy: 95.65%
epochs: 33, loss: 0.15, accuracy: 95.68%
epochs: 34, loss: 0.15, accuracy: 95.71%
epochs: 35, loss: 0.15, accuracy: 95.75%
epochs: 36, loss: 0.15, accuracy: 95.79%
epochs: 37, loss: 0.15, accuracy: 95.85%
epochs: 38, loss: 0.14, accuracy: 95.89%
epochs: 39, loss: 0.14, accuracy: 95.93%
epochs: 40, loss: 0.14, accuracy: 95.96%
epochs: 41, loss: 0.14, accuracy: 96.01%
epochs: 42, loss: 0.14, accuracy: 96.03%
epochs: 43, loss: 0.14, accuracy: 96.07%
epochs: 44, loss: 0.14, accuracy: 96.09%
epochs: 45, loss: 0.14, accuracy: 96.13%
epochs: 46, loss: 0.13, accuracy: 96.16%
epochs: 47, loss: 0.13, accuracy: 96.18%
epochs: 48, loss: 0.13, accuracy: 96.23%
epochs: 49, loss: 0.13, accuracy: 96.27%
